Idx	Name	Label	Perc_missing	QC_RSD
2	M2	1_6-Anhydro-β-D-glucose	0.714285714285714	31.1780280084627
3	M3	1_7-Dimethylxanthine	5	34.990604957286
4	M4	1-Methylnicotinamide	8.57142857142857	12.8042008738419
5	M5	2-Aminoadipate	1.42857142857143	9.37266355735233
6	M6	2-Aminobutyrate	5	46.9771491831324
7	M7	2-Furoylglycine	2.85714285714286	5.04915562556207
8	M8	2-Hydroxyisobutyrate	0	5.13234006385694
10	M10	2-Oxoglutarate	7.85714285714286	33.0812128898048
11	M11	3-Aminoisobutyrate	5	15.4761649136304
12	M12	3-Hydroxy-3-methylglutarate	0	26.6049574201337
13	M13	3-Hydroxybutyrate	0	39.4658723205042
14	M14	3-Hydroxyisobutyrate	2.14285714285714	8.90571085341042
15	M15	3-Hydroxyisovalerate	0	4.20083681066561
16	M16	3-Hydroxymandelate	7.14285714285714	22.9616692812561
18	M18	3-Indoxylsulfate	1.42857142857143	20.8591424951856
19	M19	4-Aminohippurate	8.57142857142857	42.3054378386488
20	M20	4-Hydroxy-3-methoxymandelate	5	37.7903572273481
23	M23	5-Aminolevulinate	0.714285714285714	31.6308969749285
25	M25	6-Hydroxynicotinate	0	18.1490341883149
26	M26	ATP	5.71428571428571	16.4201497510561
29	M29	Acetoacetate	2.14285714285714	28.1823746470557
30	M30	Acetone	1.42857142857143	21.799647018438
31	M31	Adipate	0.714285714285714	10.475665966914
32	M32	Alanine	0	4.16327952324079
33	M33	Anserine	0	9.49971351958197
36	M36	Asparagine	9.28571428571429	7.35629680015826
37	M37	Azelate	0	10.5270026105767
38	M38	Betaine	3.57142857142857	41.7428902931159
39	M39	Butanone	0.714285714285714	28.1064007794431
40	M40	Caffeine	1.42857142857143	27.5316241565944
42	M42	Carnosine	3.57142857142857	22.5750262603876
43	M43	Chlorogenate	2.14285714285714	21.2109214496846
44	M44	Choline	2.85714285714286	45.6090726176984
45	M45	Citrate	0	6.2683318247799
46	M46	Creatine	5.71428571428571	52.3050673402329
47	M47	Creatine phosphate	10	45.902908463314
48	M48	Creatinine	0	3.23499494857128
49	M49	Dimethylamine	0	28.4779675784288
50	M50	Ethanol	1.42857142857143	18.8260788445098
51	M51	Ethanolamine	7.14285714285714	14.3585518548811
52	M52	Formate	0	20.1512314461829
53	M53	Fructose	0	20.870399909166
55	M55	Gabapentin	3.57142857142857	55.4862446068036
56	M56	Galactarate	6.42857142857143	35.7982709328723
57	M57	Galactose	1.42857142857143	30.6829782382949
58	M58	Glucitol	0.714285714285714	22.0004502190827
59	M59	Gluconate	4.28571428571429	21.815830077093
60	M60	Glucose	7.85714285714286	48.149804388545
61	M61	Glucose-6-phosphate	0.714285714285714	20.8511531911625
62	M62	Glutamine	4.28571428571429	24.1965010962142
63	M63	Glycine	2.85714285714286	27.132677716133
64	M64	Glycolate	5.71428571428571	43.2919817443529
65	M65	Glycylproline	0	10.6115825535449
66	M66	Hippurate	0	2.43157137126769
67	M67	Histamine	3.57142857142857	34.2070099705288
68	M68	Histidine	2.85714285714286	16.1921649824113
69	M69	Homovanillate	2.85714285714286	30.3505147251174
70	M70	Hypoxanthine	1.42857142857143	54.4859789511647
71	M71	Ibuprofen	0	8.71508486022139
72	M72	Indole-3-acetate	5.71428571428571	63.6971455751263
73	M73	Indole-3-lactate	0	6.07329505645181
74	M74	Isoleucine	5	13.2804518023977
75	M75	Lactate	0	14.8833988150265
76	M76	Lactose	2.14285714285714	35.2410176720935
77	M77	Lactulose	3.57142857142857	21.3732186257067
80	M80	Malonate	0.714285714285714	29.7941452157111
81	M81	Maltose	0	23.6048428357526
83	M83	Mannitol	1.42857142857143	29.0965206471514
84	M84	Methanol	3.57142857142857	59.5910861087543
85	M85	Methionine	2.85714285714286	39.4843333751261
86	M86	Methylguanidine	0	22.8520886812641
87	M87	N_N-Dimethylglycine	0.714285714285714	36.7748303492941
88	M88	N-Acetylglutamine	0.714285714285714	5.65626339296861
89	M89	N-AcetylglutamineDerivative	0	4.06985188179461
90	M90	N-Acetylornithine	0	10.5427542371552
91	M91	N-Acetylserotonin	0.714285714285714	15.7041429053511
93	M93	N-Methylhydantoin	0	17.2939233224719
94	M94	N-Phenylacetylglycine	0.714285714285714	51.4159709219071
98	M98	O-Acetylcarnitine	2.14285714285714	58.0107280097199
99	M99	O-Phosphocholine	2.85714285714286	44.7604352093236
100	M100	Oxypurinol	8.57142857142857	41.1343527504293
101	M101	Pantothenate	1.42857142857143	6.64822149110939
102	M102	Phenylacetate	10	38.6313843375384
103	M103	Phenylalanine	4.28571428571429	39.7356509827306
104	M104	Proline	0.714285714285714	9.36435242100871
105	M105	Propylene glycol	2.85714285714286	8.15506388476593
106	M106	Pyridoxine	0.714285714285714	15.9320417767385
107	M107	Pyroglutamate	0	11.9378472875586
108	M108	Pyruvate	1.42857142857143	39.3163187873585
109	M109	Sarcosine	0.714285714285714	112.592434377198
110	M110	Serotonin	6.42857142857143	18.6256353495308
111	M111	Succinate	4.28571428571429	37.7964473009227
112	M112	Sucrose	0	21.4343246310405
114	M114	Threonine	0	29.2653822778545
115	M115	Trigonelline	2.14285714285714	2.97573692676797
116	M116	Trimethylamine	0.714285714285714	13.0219623560134
117	M117	Trimethylamine N-oxide	1.42857142857143	40.1746826436536
118	M118	Tropate	0.714285714285714	12.5968651960161
119	M119	Tryptophan	0	13.9818037974324
120	M120	Tyrosine	3.57142857142857	12.0011423977921
122	M122	Valine	2.14285714285714	19.1464856672245
123	M123	Xanthine	5	32.031527129162
